Algorithm,Encoder,mean_accuracy_training_x,mean_f_score_training_x,mean_precision_training_x,mean_recall_training_x,mean_accuracy_testing_x,mean_f_score_testing_x,mean_precision_testing_x,mean_recall_testing_x,mean_accuracy_testing_y,mean_f_score_testing_y,mean_precision_testing_y,mean_recall_testing_y,mean_accuracy_training_y,mean_f_score_training_y,mean_precision_training_y,mean_recall_training_y,Voting
GaussianProcessClassifier,plusrnn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
KNeighborsClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
KNeighborsClassifier,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,plusrnn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RandomForestClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
