algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0030771732330322266,0.0039767265319824215,0.3141304347826087,0.475,0.23494791666666667,0.475,0.55,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.001567983627319336,0.0036516666412353517,0.5465359477124183,0.55,0.552063492063492,0.55,0.45,0.4,0.4444444444444444,0.42105263157894735,-0.10050378152592121,0.4444444444444444,0.45454545454545453
LogisticRegression,0.027667808532714843,0.0047301769256591795,0.5934228843052372,0.6,0.6041170634920634,0.6,0.55,0.5,0.6666666666666666,0.5714285714285714,0.12309149097933272,0.6666666666666666,0.45454545454545453
SGDClassifier,0.0017467021942138671,0.0037537574768066405,0.581125116713352,0.5875,0.5911832611832611,0.5875,0.7,0.7142857142857143,0.5555555555555556,0.625,0.38981938376529196,0.5555555555555556,0.8181818181818182
LinearDiscriminantAnalysis,0.008225393295288087,0.006706953048706055,0.5619607843137254,0.5625,0.5640625,0.5625,0.55,0.5,0.4444444444444444,0.47058823529411764,0.08206099398622181,0.4444444444444444,0.6363636363636364
QuadraticDiscriminantAnalysis,0.005588388442993164,0.007107210159301758,0.469386437435973,0.475,0.4791486291486292,0.475,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.6161616161616161,0.1111111111111111,0.2727272727272727
SVC,0.0028070449829101563,0.007647228240966797,0.5079642179584971,0.5875,0.6243939393939394,0.5875,0.55,0.5,0.8888888888888888,0.64,0.20100756305184242,0.8888888888888888,0.2727272727272727
KNeighborsClassifier,0.0006357192993164063,0.0069163799285888675,0.3659881422924901,0.5125,0.3454241071428571,0.5125,0.55,0.0,0.0,0.0,0.0,0.0,1.0
GaussianNB,0.0009145259857177735,0.0037351131439208986,0.3833695652173913,0.5125,0.3207575757575758,0.5125,0.55,0.0,0.0,0.0,0.0,0.0,1.0
DecisionTreeClassifier,0.00451364517211914,0.0037684917449951174,0.5690168242490224,0.5875,0.5871657509157509,0.5875,0.75,0.75,0.6666666666666666,0.7058823529411765,0.4923659639173309,0.6666666666666666,0.8181818181818182
ExtraTreeClassifier,0.0007288932800292968,0.0037094593048095704,0.5059037857567269,0.525,0.5398418248418249,0.525,0.7,0.6363636363636364,0.7777777777777778,0.7,0.41414141414141414,0.7777777777777778,0.6363636363636364
RandomForestClassifier,0.08689365386962891,0.016137313842773438,0.6825137882413423,0.6875,0.6964069264069263,0.6875,0.75,0.75,0.6666666666666666,0.7058823529411765,0.4923659639173309,0.6666666666666666,0.8181818181818182
BaggingClassifier,0.027565193176269532,0.025813722610473634,0.5441068924195859,0.55,0.5632106782106783,0.55,0.55,0.5,0.2222222222222222,0.3076923076923077,0.050251890762960605,0.2222222222222222,0.8181818181818182
AdaBoostClassifier,0.10021858215332032,0.008060884475708009,0.604321926783227,0.6125,0.618662518037518,0.6125,0.4,0.2857142857142857,0.2222222222222222,0.25,-0.24232015747572203,0.2222222222222222,0.5454545454545454
GradientBoostingClassifier,0.4233273983001709,0.004156589508056641,0.6015571202103709,0.6125,0.636717032967033,0.6125,0.55,0.5,0.4444444444444444,0.47058823529411764,0.08206099398622181,0.4444444444444444,0.6363636363636364
HistGradientBoostingClassifier,0.07562146186828614,0.005694913864135742,0.5994859887274748,0.6125,0.6212103174603174,0.6125,0.65,0.75,0.3333333333333333,0.46153846153846156,0.30151134457776363,0.3333333333333333,0.9090909090909091
ExtraTrees-ensemble,0.06487350463867188,0.016141319274902345,0.7197590696197507,0.725,0.7491179653679654,0.725,0.8,0.8571428571428571,0.6666666666666666,0.75,0.6005325641789633,0.6666666666666666,0.9090909090909091
XGBClassifier,0.038709402084350586,0.0064373970031738285,0.6217031643966628,0.625,0.6354256854256854,0.625,0.6,0.5714285714285714,0.4444444444444444,0.5,0.17910620335162064,0.4444444444444444,0.7272727272727273
LGBMClassifier,0.0245760440826416,0.006601810455322266,0.5599726881305829,0.575,0.5875757575757576,0.575,0.6,0.6,0.3333333333333333,0.42857142857142855,0.17407765595569785,0.3333333333333333,0.8181818181818182
